,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
19807,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1984927,2019-09-07 09:46:30:206,-1.9805,-1.0807,10.5715,0.0208,0.0096,9.8066,0.0014,-0.0052,-0.0174,-15.31,-35.81,-3.44,252.72,-78.12,-158.17
19808,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985027,2019-09-07 09:46:30:306,-0.5582,-0.7176,9.6291,0.0322,0.0208,9.8066,0.1102,-0.0803,0.0089,-14.37,-36.0,-3.19,249.46,-77.86,-158.54
19809,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985127,2019-09-07 09:46:30:406,0.734,-1.3614,8.921,0.0327,0.0214,9.8065,0.066,-0.1485,0.0168,-14.56,-36.5,-2.69,249.85,-77.16,-159.18
19810,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985227,2019-09-07 09:46:30:506,-0.0353,-0.9102,9.6576,-0.0305,0.0002,9.8065,-0.0099,-0.123,-0.0013,-14.87,-37.06,-2.81,248.41,-77.05,-159.77
19811,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985327,2019-09-07 09:46:30:606,0.1666,-1.077,9.4531,-0.0365,-0.0244,9.8065,-0.0314,-0.0929,-0.0353,-14.62,-36.56,-2.75,249.3,-77.39,-159.54
19812,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985427,2019-09-07 09:46:30:706,-1.212,-2.4523,9.9427,-0.0215,-0.0231,9.8065,-0.1302,-0.0342,-0.0455,-15.31,-37.25,-2.87,250.72,-77.95,-159.27
19813,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985527,2019-09-07 09:46:30:806,-2.0528,-3.0651,10.4931,0.0002,-0.0051,9.8066,-0.0598,-0.1418,0.0667,-14.81,-36.37,-3.19,252.67,-78.26,-158.59
19814,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985628,2019-09-07 09:46:30:907,-2.211,-2.7107,10.2132,0.0174,0.0059,9.8066,0.1525,-0.1382,0.038,-15.25,-36.12,-2.62,252.66,-78.05,-158.05
19815,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985727,2019-09-07 09:46:31:006,-1.2797,-3.1729,9.5501,0.0328,0.0225,9.8065,0.0926,-0.1223,-0.0013,-15.87,-35.0,-3.31,254.07,-77.55,-158.57
19816,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985827,2019-09-07 09:46:31:106,-1.8105,-2.7726,8.7781,0.0063,0.014,9.8066,-0.026,-0.1996,0.1167,-15.12,-35.31,-2.44,252.44,-77.08,-160.08
19817,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1985927,2019-09-07 09:46:31:206,-1.3558,-1.4932,8.3786,0.0022,-0.0081,9.8066,-0.1008,-0.1007,0.0448,-16.12,-35.5,-2.75,252.06,-76.96,-159.58
19818,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1986027,2019-09-07 09:46:31:306,-0.7223,-2.3133,10.0111,-0.0272,-0.0348,9.8065,-0.0605,-0.1714,0.0395,-17.25,-35.44,-3.19,255.47,-77.18,-158.39
19819,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1986127,2019-09-07 09:46:31:406,-1.2243,-3.083,10.0911,-0.0294,-0.0172,9.8065,-0.102,-0.1885,0.0532,-18.19,-34.37,-3.31,260.9,-77.89,-156.6
19820,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986227,2019-09-07 09:46:31:506,-0.8966,-3.0737,10.0803,-0.0291,0.0091,9.8066,-0.1266,-0.127,-0.0492,-18.5,-34.31,-2.87,261.03,-78.19,-157.09
19821,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986327,2019-09-07 09:46:31:606,-0.8117,-2.3757,8.997,-0.0164,0.0136,9.8066,-0.0161,-0.2425,0.0787,-19.62,-34.81,-3.37,263.24,-78.33,-157.58
19822,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986428,2019-09-07 09:46:31:707,-1.7618,-2.4842,9.0472,0.0239,0.0085,9.8065,-0.0085,-0.3004,0.0593,-20.56,-34.69,-2.19,265.75,-78.26,-158.79
19823,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986527,2019-09-07 09:46:31:806,-0.8865,-3.047,9.555,0.0052,-0.0192,9.8066,-0.0689,-0.3234,0.0893,-20.81,-34.19,-0.62,268.03,-78.05,-159.28
19824,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986627,2019-09-07 09:46:31:906,-1.3757,-3.4152,10.3001,-0.0119,-0.0032,9.8066,0.1094,-0.3589,0.0326,-21.12,-34.19,-0.19,270.63,-77.92,-159.07
19825,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986727,2019-09-07 09:46:32:006,-0.2768,-2.9076,10.4094,0.0082,0.0176,9.8066,0.0749,-0.3696,0.0318,-20.87,-33.81,0.31,269.16,-77.77,-160.32
19826,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986828,2019-09-07 09:46:32:107,-0.0413,-2.7342,9.8847,-0.0029,0.0258,9.8066,-0.0403,-0.4149,0.0244,-20.12,-33.81,0.63,269.52,-77.77,-161.76
19827,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1986928,2019-09-07 09:46:32:207,-0.2141,-2.3445,8.7135,0.0009,0.0174,9.8066,-0.0423,-0.4578,0.0617,-20.06,-34.19,0.69,268.32,-77.75,-162.95
19828,52.442997,-1.525075,165.94,8.62,2.0,351.27,22 / 22,1987028,2019-09-07 09:46:32:307,-1.2769,-3.146,9.4664,-0.0318,0.0053,9.8066,-0.0249,-0.5714,0.0896,-20.81,-34.94,0.81,268.14,-77.88,-163.68
19829,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987127,2019-09-07 09:46:32:406,-0.2166,-3.3259,10.0562,-0.0333,0.0126,9.8065,-0.0319,-0.4958,0.0175,-21.25,-34.56,0.75,267.74,-78.13,-164.57
19830,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987227,2019-09-07 09:46:32:506,-0.8287,-3.7496,10.3589,-0.0105,0.0222,9.8065,-0.0942,-0.5141,-0.0139,-21.56,-34.44,0.75,268.31,-78.46,-165.95
19831,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987327,2019-09-07 09:46:32:606,-1.1336,-2.6168,9.5767,-0.017,0.0293,9.8065,-0.0462,-0.556,0.0182,-22.19,-35.31,0.63,266.15,-78.81,-168.25
19832,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987427,2019-09-07 09:46:32:706,-0.7985,-3.41,9.389,-0.0185,0.0191,9.8065,-0.0456,-0.5924,0.0388,-22.5,-34.87,0.88,264.76,-79.14,-170.27
19833,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987527,2019-09-07 09:46:32:806,-1.019,-3.7643,9.3475,-0.017,0.0159,9.8065,-0.0738,-0.5925,0.0313,-23.31,-34.81,1.63,267.03,-79.35,-171.45
19834,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987627,2019-09-07 09:46:32:906,-0.8945,-3.6201,9.9357,-0.0189,0.0507,9.8064,-0.0504,-0.6503,0.011,-24.25,-34.69,2.19,266.19,-79.71,-173.37
19835,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987727,2019-09-07 09:46:33:006,-1.2017,-2.2717,10.1461,-0.0174,0.0241,9.8066,-0.0457,-0.6172,0.0279,-24.25,-35.69,2.75,264.83,-80.05,-177.3
19836,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987828,2019-09-07 09:46:33:107,-0.2381,-2.2248,9.4852,-0.0212,-0.0024,9.8065,-0.0959,-0.6328,0.1223,-24.37,-35.62,2.44,261.83,-80.31,-178.42
19837,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1987927,2019-09-07 09:46:33:206,-0.3544,-2.9015,9.4827,-0.0089,-0.0387,9.8065,-0.0479,-0.6272,0.1399,-25.12,-34.44,2.88,267.51,-80.7,-176.6
19838,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988027,2019-09-07 09:46:33:306,0.0472,-3.724,9.0715,-0.0339,-0.0096,9.8066,-0.1355,-0.6128,0.0645,-26.62,-34.37,4.06,272.81,-81.14,-174.4
19839,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988128,2019-09-07 09:46:33:407,-1.1118,-4.9618,9.8206,-0.007,0.0012,9.8066,-0.118,-0.6869,0.1202,-26.81,-34.44,4.69,275.51,-81.38,-174.15
19840,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988227,2019-09-07 09:46:33:506,-0.9036,-2.7004,9.9754,-0.0047,0.0073,9.8065,0.0066,-0.7283,0.1202,-27.44,-34.25,5.44,275.49,-81.58,-174.44
19841,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988328,2019-09-07 09:46:33:607,-0.8195,-3.2137,9.5319,0.0006,0.0139,9.8065,-0.0439,-0.63,0.0076,-27.75,-33.87,6.63,278.6,-81.67,-175.54
19842,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988427,2019-09-07 09:46:33:706,-0.7152,-3.4346,10.082,-0.0168,-0.0096,9.8066,0.1355,-0.6754,0.0513,-28.56,-33.06,7.88,279.82,-81.54,-176.25
19843,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988527,2019-09-07 09:46:33:806,-0.4861,-2.8174,9.6436,-0.0517,0.0402,9.8064,0.1125,-0.6565,0.0235,-28.0,-33.5,8.75,281.2,-81.77,-177.36
19844,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988627,2019-09-07 09:46:33:906,1.014,-1.1286,8.5946,0.0039,0.0104,9.8066,-0.1108,-0.5286,0.0795,-28.06,-33.87,10.06,281.08,-81.86,-179.24
19845,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988727,2019-09-07 09:46:34:006,0.0441,-0.308,8.5747,0.018,-0.0053,9.8066,-0.2994,-0.4206,0.0641,-29.06,-33.94,10.25,281.24,-81.96,-178.85
19846,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988828,2019-09-07 09:46:34:107,-0.897,-1.8763,9.684,-0.1075,-0.0007,9.806,0.0553,-0.4106,0.0851,-28.94,-34.12,11.38,284.97,-82.38,-177.52
19847,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1988928,2019-09-07 09:46:34:207,0.7789,-2.1995,10.0368,-0.0942,0.0164,9.8061,0.0388,-0.3498,0.0443,-28.87,-33.62,11.13,288.64,-83.42,-175.14
19848,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989027,2019-09-07 09:46:34:306,0.3054,-1.2712,10.468,0.0145,0.0078,9.8066,-0.09,-0.2778,-0.019,-28.87,-33.0,12.38,290.88,-83.65,-175.21
19849,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989127,2019-09-07 09:46:34:406,0.3568,-0.5353,10.0476,0.0147,-0.0045,9.8066,0.0737,-0.294,0.0225,-28.94,-33.06,12.69,291.0,-83.76,-176.95
19850,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989227,2019-09-07 09:46:34:506,0.904,0.4574,9.4763,0.0371,-0.047,9.8064,-0.0633,-0.1958,0.1248,-29.12,-33.0,13.0,292.02,-83.52,-175.72
19851,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989327,2019-09-07 09:46:34:606,0.1612,0.3307,9.3597,-0.0149,-0.0151,9.8066,-0.112,-0.0638,0.0461,-29.06,-32.94,13.13,293.9,-83.38,-173.79
19852,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989427,2019-09-07 09:46:34:706,0.441,-1.0185,10.0196,0.0066,-0.0101,9.8066,0.0716,-0.0183,-0.0066,-29.62,-33.31,13.0,295.54,-83.24,-171.55
19853,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989527,2019-09-07 09:46:34:806,0.9066,-0.1914,10.2095,-0.0066,0.0005,9.8066,0.0157,-0.0036,0.0353,-29.44,-32.75,13.31,297.26,-83.28,-170.49
19854,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989627,2019-09-07 09:46:34:906,0.5727,0.0818,9.9336,0.0074,0.002,9.8066,0.033,-0.0137,0.0155,-29.69,-32.87,13.44,296.65,-83.29,-170.54
19855,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989727,2019-09-07 09:46:35:006,0.0352,-0.6177,10.3877,0.0124,-0.0168,9.8066,0.0272,-0.0277,0.0632,-29.87,-32.62,13.56,297.8,-83.1,-170.92
19856,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989828,2019-09-07 09:46:35:107,0.2869,-0.1929,9.8641,0.0476,-0.0354,9.8064,-0.0512,0.086,-0.022,-29.5,-32.5,14.0,298.95,-82.57,-170.12
19857,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1989927,2019-09-07 09:46:35:206,0.0018,-1.4122,8.0357,0.0026,0.0326,9.8065,-0.0835,0.2298,-0.1896,-29.75,-32.5,14.75,300.25,-82.28,-169.69
19858,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990027,2019-09-07 09:46:35:306,-0.7102,1.1217,9.4185,0.0252,-0.0166,9.8065,0.1575,0.0699,0.027,-30.06,-32.81,13.69,298.18,-82.16,-169.67
19859,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990128,2019-09-07 09:46:35:407,-1.3625,-0.0321,10.1368,-0.0607,0.0243,9.8064,-0.1649,0.0322,-0.0298,-29.37,-32.69,14.06,298.81,-82.6,-170.07
19860,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990227,2019-09-07 09:46:35:506,-0.2177,2.0099,10.2718,-0.0409,0.0031,9.8065,-0.012,0.1137,-0.0683,-29.75,-33.0,13.75,297.92,-82.7,-170.43
19861,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990327,2019-09-07 09:46:35:606,-1.7499,0.1134,9.9487,0.0181,-0.0069,9.8066,-0.0733,-0.029,0.2237,-29.75,-32.94,12.81,297.31,-82.73,-169.37
19862,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990427,2019-09-07 09:46:35:706,0.0027,-1.9257,9.1046,0.0194,-0.0329,9.8065,0.1047,0.2747,-0.0999,-29.31,-33.0,13.38,298.32,-82.33,-168.56
19863,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990527,2019-09-07 09:46:35:806,0.4683,-0.4058,10.0862,0.0435,0.0188,9.8065,0.2187,0.0823,-0.0565,-29.62,-33.44,12.56,296.74,-82.14,-169.33
19864,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990628,2019-09-07 09:46:35:907,0.0543,0.5093,10.3063,0.0103,0.0002,9.8066,-0.0394,0.041,-0.0595,-29.25,-33.0,13.06,294.81,-81.97,-171.49
19865,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990728,2019-09-07 09:46:36:007,0.1069,0.8216,10.2077,-0.0107,-0.0055,9.8065,-0.009,0.043,-0.0186,-28.87,-32.75,13.0,295.22,-82.06,-171.19
19866,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990827,2019-09-07 09:46:36:106,-0.5969,1.4347,9.7652,0.0177,0.0168,9.8065,-0.0476,0.0834,-0.078,-29.06,-33.06,11.63,292.68,-82.05,-171.83
19867,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1990928,2019-09-07 09:46:36:207,0.428,1.1935,9.18,-0.011,-0.01,9.8066,-0.0612,0.1188,0.0075,-28.81,-32.5,12.06,293.64,-81.94,-171.05
19868,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991027,2019-09-07 09:46:36:306,0.0251,1.9091,9.6495,-0.0234,-0.0203,9.8065,0.1655,0.0881,0.0958,-29.37,-33.37,11.5,295.7,-81.86,-168.78
19869,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991127,2019-09-07 09:46:36:406,0.8529,-0.6234,9.4453,0.0306,-0.0315,9.8065,0.1805,0.1865,-0.0085,-29.31,-33.06,10.88,295.11,-81.86,-167.53
19870,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991227,2019-09-07 09:46:36:506,-0.4971,0.8798,9.7655,0.0459,-0.0003,9.8065,-0.11,0.1537,-0.0362,-29.19,-33.06,10.5,296.12,-81.65,-166.37
19871,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991327,2019-09-07 09:46:36:606,-0.7457,0.8517,9.3802,-0.0493,0.0168,9.8065,-0.2081,0.0898,0.0164,-29.37,-34.12,9.44,292.76,-82.08,-166.03
19872,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991427,2019-09-07 09:46:36:706,-0.2522,0.4436,9.3983,-0.0515,-0.003,9.8064,0.0147,0.0304,0.0981,-29.75,-34.62,8.13,290.59,-82.12,-165.77
19873,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991527,2019-09-07 09:46:36:806,1.3449,0.4293,9.6678,-0.003,-0.001,9.8066,-0.0441,0.1833,-0.1075,-30.12,-35.37,7.75,293.13,-82.11,-163.35
19874,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991627,2019-09-07 09:46:36:906,-1.401,1.1452,10.879,0.0216,0.0185,9.8066,0.094,0.0421,0.0067,-31.5,-35.94,7.63,291.18,-82.4,-165.09
19875,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991727,2019-09-07 09:46:37:006,-0.778,0.9087,10.491,-0.0153,0.0176,9.8066,-0.0614,0.0785,-0.0936,-31.31,-36.37,10.63,297.26,-82.32,-164.55
19876,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991827,2019-09-07 09:46:37:106,0.408,-0.1782,10.2923,0.0066,-0.0192,9.8066,0.1828,-0.0287,0.0131,-30.87,-35.75,12.44,298.1,-82.09,-165.22
19877,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1991928,2019-09-07 09:46:37:207,-0.0063,1.1413,9.2286,0.0471,-0.0151,9.8065,0.2667,0.1165,-0.063,-29.75,-34.31,14.0,300.78,-81.36,-166.27
19878,52.442997,-1.525075,165.94,8.62,2.0,351.27,24 / 24,1992027,2019-09-07 09:46:37:306,1.7475,0.2262,9.4206,0.0015,-0.0033,9.8066,-0.1026,0.0685,-0.0565,-29.62,-33.62,13.63,300.6,-81.11,-166.19
19879,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992127,2019-09-07 09:46:37:406,0.9816,0.1673,9.9934,-0.0461,0.0077,9.8065,-0.1235,0.0948,-0.0497,-29.69,-33.56,12.75,298.71,-81.03,-166.17
19880,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992227,2019-09-07 09:46:37:506,-0.1855,0.2948,9.8998,-0.0525,0.0011,9.8064,-0.0029,0.1282,-0.0346,-29.25,-33.56,11.56,300.46,-81.39,-163.63
19881,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992327,2019-09-07 09:46:37:606,-0.8383,1.3596,9.5116,-0.0253,-0.0105,9.8065,0.0176,0.1137,0.0145,-29.31,-33.25,10.0,299.37,-81.71,-161.57
19882,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992427,2019-09-07 09:46:37:706,-0.5231,-0.1091,9.5822,0.0085,-0.0112,9.8066,-0.0082,0.104,0.0162,-28.62,-33.12,9.44,298.03,-81.67,-160.9
19883,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992527,2019-09-07 09:46:37:806,-0.7183,0.3749,10.9707,0.0343,-0.0017,9.8065,-0.0092,0.0331,-0.0093,-29.0,-33.44,9.06,297.11,-81.4,-161.48
19884,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992627,2019-09-07 09:46:37:906,-0.0623,0.3925,9.6878,0.0221,0.0012,9.8066,0.0914,0.0278,-0.0389,-29.19,-32.94,9.25,295.5,-81.14,-162.7
19885,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992728,2019-09-07 09:46:38:007,-0.9572,-0.154,9.5135,0.0247,0.0005,9.8066,0.0277,-0.0046,0.0802,-28.12,-33.31,9.44,294.85,-80.94,-163.37
19886,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992828,2019-09-07 09:46:38:107,0.7827,1.1095,10.3421,0.0223,-0.0073,9.8066,0.0707,-0.0344,0.0255,-28.87,-33.31,9.38,294.81,-80.76,-162.94
19887,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1992927,2019-09-07 09:46:38:206,-0.6238,0.873,10.2933,-0.0027,-0.0076,9.8066,0.0437,-0.0095,0.0192,-28.31,-32.81,9.19,296.06,-80.72,-162.01
19888,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993027,2019-09-07 09:46:38:306,-1.3506,1.6016,10.1208,-0.0137,0.0128,9.8066,-0.0243,0.0184,0.0272,-28.19,-32.31,8.81,297.44,-80.94,-161.24
19889,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993127,2019-09-07 09:46:38:406,-1.5867,-0.793,9.3706,0.0009,0.0256,9.8065,-0.0554,-0.0745,0.0591,-28.62,-32.06,9.0,296.45,-81.03,-161.96
19890,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993227,2019-09-07 09:46:38:506,0.6641,-1.4615,9.2383,0.044,-0.0083,9.8065,-0.0563,-0.0703,0.101,-26.81,-32.12,8.25,294.79,-80.85,-161.89
19891,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993327,2019-09-07 09:46:38:606,0.977,0.3665,9.2381,0.0101,-0.0217,9.8066,0.1048,0.0343,-0.0117,-27.5,-31.44,8.56,299.48,-81.07,-160.11
19892,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993427,2019-09-07 09:46:38:706,-1.3087,0.0688,9.5202,-0.0242,0.0027,9.8066,-0.1243,0.0172,0.0415,-26.81,-30.75,8.31,299.87,-81.17,-157.84
19893,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993527,2019-09-07 09:46:38:806,-0.3393,1.0926,9.9762,-0.0523,-0.0042,9.8064,-0.0449,0.0725,0.0646,-27.69,-29.87,7.25,299.1,-81.59,-156.97
19894,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993628,2019-09-07 09:46:38:907,-0.0039,0.8623,9.8103,-0.0126,-0.0109,9.8066,0.2334,0.0421,0.022,-27.87,-27.94,6.38,297.55,-81.36,-156.72
19895,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993727,2019-09-07 09:46:39:006,0.5666,0.0526,9.9339,-0.0121,-0.0161,9.8066,0.1578,-0.0301,0.0162,-29.81,-26.06,5.56,299.2,-81.23,-155.27
19896,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993827,2019-09-07 09:46:39:106,-1.2869,0.9825,10.0892,0.0118,-0.0026,9.8066,-0.1301,0.0592,-0.0525,-30.31,-26.06,6.69,301.96,-81.09,-154.44
19897,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1993927,2019-09-07 09:46:39:206,-1.1973,0.2892,10.0435,0.0194,-0.0029,9.8066,-0.08,0.0091,0.0502,-29.31,-26.37,6.31,299.78,-80.93,-154.64
19898,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994027,2019-09-07 09:46:39:306,-1.2434,0.5157,9.1356,-0.0045,0.0092,9.8066,0.0646,0.1071,0.0591,-30.12,-26.31,5.94,299.51,-80.76,-154.59
19899,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994128,2019-09-07 09:46:39:407,1.3135,0.3972,9.5509,-0.0054,-0.0137,9.8065,0.0935,0.0346,0.0832,-31.12,-25.44,7.06,301.51,-80.76,-154.63
19900,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994227,2019-09-07 09:46:39:506,-0.6786,0.4985,9.9145,-0.0027,-0.0089,9.8066,-0.0373,-0.0194,-0.021,-33.25,-27.19,7.56,304.0,-80.78,-153.16
19901,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994327,2019-09-07 09:46:39:606,-1.8046,0.2381,10.2382,-0.0303,0.004,9.8066,0.0477,0.0079,-0.0469,-32.31,-28.19,9.06,306.86,-80.85,-152.29
19902,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994428,2019-09-07 09:46:39:707,-0.5884,0.055,10.2598,-0.0165,0.0024,9.8065,0.1631,-0.038,-0.0162,-31.25,-29.94,9.38,307.11,-80.99,-152.02
19903,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994527,2019-09-07 09:46:39:806,-1.1474,1.2332,9.1779,0.0346,-0.0018,9.8065,-0.1024,0.0041,-0.0481,-30.44,-31.0,8.69,305.84,-80.75,-153.03
19904,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994627,2019-09-07 09:46:39:906,-0.8746,0.3567,9.2222,0.0181,-0.0029,9.8066,-0.13,-0.0062,-0.0344,-29.87,-31.56,8.88,304.25,-80.46,-153.96
19905,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994727,2019-09-07 09:46:40:006,-0.749,0.4838,9.5766,-0.0329,0.0073,9.8065,-0.0332,0.0229,0.0276,-29.81,-31.87,7.56,303.04,-80.82,-153.55
19906,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994827,2019-09-07 09:46:40:106,-0.2133,0.9049,9.8139,-0.031,0.0017,9.8065,0.0202,-0.0198,0.0464,-29.06,-31.75,7.38,302.22,-81.01,-152.8
19907,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1994927,2019-09-07 09:46:40:206,-0.5212,0.0231,9.7812,0.018,0.0051,9.8066,-0.1217,-0.0405,-0.0194,-28.81,-31.75,7.19,303.54,-81.05,-151.64
19908,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1995028,2019-09-07 09:46:40:307,-0.5459,1.2067,9.1422,0.0208,0.0008,9.8066,0.0418,-0.0205,-0.018,-28.0,-31.94,7.31,302.83,-80.95,-152.38
19909,52.443314,-1.52471,165.56,6.87,3.0,79.36,24 / 24,1995129,2019-09-07 09:46:40:408,-0.6767,1.2767,10.1439,-0.0286,-0.0053,9.8066,0.1325,0.0836,-0.0047,-28.56,-32.31,7.0,301.98,-80.75,-152.77
